,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix
134,categorical,1747,both_sexes,2,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Red,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,20712.0,12815.0,7897.0,EUR,1.0,,,,,19254.0,,,,,,400227.0,,,,,,0.20786,,,,,,1.0731,,categorical-1747-both_sexes-2.tsv.bgz,categorical-1747-both_sexes-2.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-2.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-2.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-2.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-2.tsv.bgz.tbi,547463102.0,1752185.0,bc0154601bf430133a259d1682a27416,4d8ea929d134b44a2c0d81faf8554f60
154,categorical,20001,both_sexes,1003,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",skin cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,1436.0,730.0,706.0,EUR,1.0,,,,,1328.0,,,,,,419145.0,,,,,,0.074316,,,,,,1.0488,,categorical-20001-both_sexes-1003.tsv.bgz,categorical-20001-both_sexes-1003.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1003.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1003.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1003.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1003.tsv.bgz.tbi,539851872.0,1751995.0,ff8fe7313cac08268a204cb3d912d404,cab334d758bae6b9fa551a91157f803e
161,categorical,20001,both_sexes,1022,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",colon cancer/sigmoid cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,1520.0,664.0,856.0,EUR,1.0,,,,,1384.0,,,,,,419089.0,,,,,,0.069068,,,,,,1.029,,categorical-20001-both_sexes-1022.tsv.bgz,categorical-20001-both_sexes-1022.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1022.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1022.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1022.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1022.tsv.bgz.tbi,539722052.0,1751947.0,ca260deee1d7cd198d5e07fea499bf2e,0764cfb72a6ddd1eb20af72dd55b06ba
165,categorical,20001,both_sexes,1032,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",brain cancer / primary malignant brain tumour,UK Biobank Assessment Centre > Verbal interview > Medical conditions,220.0,113.0,107.0,EUR,1.0,,,,,193.0,,,,,,420280.0,,,,,,0.087565,,,,,,0.98245,,categorical-20001-both_sexes-1032.tsv.bgz,categorical-20001-both_sexes-1032.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1032.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1032.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1032.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1032.tsv.bgz.tbi,515585281.0,1750724.0,fb727070d2a2b891744a8b4a6de290c4,acbb83137c64be424c0fd4909bea46db
166,categorical,20001,both_sexes,1034,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",kidney/renal cell cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,631.0,241.0,390.0,EUR,1.0,,,,,555.0,,,,,,419918.0,,,,,,0.12532,,,,,,0.99834,,categorical-20001-both_sexes-1034.tsv.bgz,categorical-20001-both_sexes-1034.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1034.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1034.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1034.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1034.tsv.bgz.tbi,531441178.0,1751438.0,08ba54efcb09e777139e1814d59312a8,0a2c6b6d2d2efce2393d5587492c5547
167,categorical,20001,both_sexes,1035,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",bladder cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,1118.0,299.0,819.0,EUR,1.0,,,,,996.0,,,,,,419477.0,,,,,,0.096818,,,,,,0.97826,,categorical-20001-both_sexes-1035.tsv.bgz,categorical-20001-both_sexes-1035.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1035.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1035.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1035.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1035.tsv.bgz.tbi,537105157.0,1751774.0,9c73fc8f2f31ba83b2c5e97b05c6151c,7161f2f926bfcbbe2bab06bbfeede613
171,categorical,20001,both_sexes,1052,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",hodgkins lymphoma / hodgkins disease,UK Biobank Assessment Centre > Verbal interview > Medical conditions,450.0,207.0,243.0,EUR,1.0,,,,,396.0,,,,,,420077.0,,,,,,0.081169,,,,,,0.98907,,categorical-20001-both_sexes-1052.tsv.bgz,categorical-20001-both_sexes-1052.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1052.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1052.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1052.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1052.tsv.bgz.tbi,527333171.0,1751114.0,2298f0096ffeaadfdc104379aa327234,6b543ccd1f3ba8da7255e532a644cca4
172,categorical,20001,both_sexes,1053,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",non-hodgkins lymphoma,UK Biobank Assessment Centre > Verbal interview > Medical conditions,900.0,398.0,502.0,EUR,1.0,,,,,797.0,,,,,,419676.0,,,,,,0.06384,,,,,,0.99522,,categorical-20001-both_sexes-1053.tsv.bgz,categorical-20001-both_sexes-1053.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1053.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1053.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1053.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1053.tsv.bgz.tbi,534918999.0,1751647.0,b670e2b7431f3484b785011fd3dc37bf,2239433238e265a7308b49ef5b857dcb
173,categorical,20001,both_sexes,1055,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",chronic lymphocytic,UK Biobank Assessment Centre > Verbal interview > Medical conditions,303.0,112.0,191.0,EUR,1.0,,,,,277.0,,,,,,420196.0,,,,,,0.089818,,,,,,0.9886,,categorical-20001-both_sexes-1055.tsv.bgz,categorical-20001-both_sexes-1055.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1055.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1055.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1055.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1055.tsv.bgz.tbi,522744736.0,1750928.0,0d7eef9f4d3f39dd9f05425a9fa52814,951fc596af9880d115aea0fcb34f7f89
174,categorical,20001,both_sexes,1059,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",malignant melanoma,UK Biobank Assessment Centre > Verbal interview > Medical conditions,3594.0,2145.0,1449.0,EUR,1.0,,,,,3322.0,,,,,,417151.0,,,,,,0.050005,,,,,,1.0427,,categorical-20001-both_sexes-1059.tsv.bgz,categorical-20001-both_sexes-1059.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1059.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1059.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1059.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1059.tsv.bgz.tbi,545359244.0,1752053.0,8974f29aec71d8d5563eca5246b414ed,7df8650f6dfb70824cf8bab12867afe2
